Resampling,Precision,Recall,F1-Score,AUC-ROC,FP_Count,FN_Count
No_Resampling,0.958904109589041,0.7368421052631579,0.8333333333333334,0.9796330068963338,3,25
Undersampling,0.05297157622739018,0.8631578947368421,0.09981740718198417,0.9710288943661515,1466,13
SMOTE,0.6666666666666666,0.8,0.7272727272727273,0.9681926922830368,38,19
Hybrid_SMOTETomek,0.6666666666666666,0.8,0.7272727272727273,0.9681926922830368,38,19
