Model,AUC_ROC,F1_Score,Precision,Recall,FP_Count,FN_Count,Total_Errors,Balanced_Score
No_Resampling,0.9796,0.8333,0.9589,0.7368,3,25,28,0.8772
Undersampling,0.971,0.0998,0.053,0.8632,1466,13,1479,0.4968
SMOTE,0.9682,0.7273,0.6667,0.8,38,19,57,0.7906
Hybrid_SMOTETomek,0.9682,0.7273,0.6667,0.8,38,19,57,0.7906
